DiseaseGroup,Groupe de maladies,Grupo de enfermedades
Infectious and parasitic diseases,Maladies infectieuses et parasitaires,Enfermedades infecciosas y parasitarias
Cardiovascular diseases,Maladies cardiovasculaires,Enfermedades cardiovasculares
Neonatal conditions,Conditions néonatales,Enfermedades neonatales
Respiratory Infectious ,Infections respiratoires,Infecciosas respiratorias
Unintentional injuries,Lésions non intentionnelles,Lesiones no intencionales
Malignant neoplasms,Tumeurs malignes,Neoplasias malignas
Mental and substance use disorders,Troubles mentaux et d'usage de substances,Trastornos mentales y por abuso de sustancias
Respiratory diseases,Maladies respiratoires,Enfermedades respiratorias
Intentional injuries,Blessures intentionnelles,Lesiones intencionales
Sense organ diseases,Maladies des organes sensoriels,Enfermedades de los órganos de los sentidos
Musculoskeletal diseases,Maladies musculo-squelettiques,Enfermedades musculoesqueléticas
Digestive diseases,Maladies digestives,Enfermedades digestivas
Neurological conditions,Troubles neurologiques,Enfermedades neurológicas
Diabetes mellitus,Diabète sucré,Diabetes mellitus
Nutritional deficiencies,Carences nutritionnelles,Deficiencias nutricionales
Genitourinary diseases,Maladies génito-urinaires,Enfermedades genitourinarias
Congenital anomalies,Anomalies congénitales,Anomalías congénitas
Maternal conditions,Affections maternelles,Enfermedades maternas
Other neoplasms,Autres tumeurs,Otras neoplasias
Oral conditions,Conditions orales,Condiciones orales
Skin diseases,Maladies de la peau,Enfermedades de la piel
"Endocrine, blood, immune disorders","Troubles endocriniens, sanguins, immunitaires","Endocrino, sangre, trastornos inmunes"
