Country,Pays,País
Global,Global,Global
Afghanistan,Afghanistan,Afganistán
Albania,Albanie,Albania
Algeria,Algérie,Argelia
Angola,Angola,Angola
Antigua and Barbuda,Antigua et Barbuda,Antigua y Barbuda
Argentina,Argentine,Argentina
Armenia,Arménie,Armenia
Australia,Australie,Australia
Austria,Autriche,Austria
Azerbaijan,Azerbaïdjan,Azerbaiyán
Bahamas,Bahamas,Bahamas
Bahrain,Bahreïn,Bahrein
Bangladesh,Bangladesh,Bangladesh
Barbados,Barbade,Barbados
Belarus,Biélorussie,Bielorrusia
Belgium,Belgique,Bélgica
Belize,Belize,Belice
Benin,Bénin,Benin
Bhutan,Bhoutan,Bután
Bolivia (Plurinational State of),Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)
Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina
Botswana,Botswana,Botswana
Brazil,Brésil,Brasil
Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam
Bulgaria,Bulgarie,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambodia,Cambodge,Camboya
Cameroon,Cameroun,Camerún
Canada,Canada,Canadá
Cape Verde,Cap Vert,Cabo Verde
Central African Republic,République centrafricaine,República Centroafricana
Chad,Tchad,Chad
Chile,Chili,Chile
China,Chine,China
Colombia,Colombie,Colombia
Comoros,Comores,Comoras
Congo,Congo,Congo
Costa Rica,Costa Rica,Costa Rica
Croatia,Croatie,Croacia
Cuba,Cuba,Cuba
Cyprus,Chypre,Chipre
Czechia,Tchéquie,República Checa
Democratic People's Republic of Korea,République populaire démocratique de Corée,República Popular Democrática de Corea
Democratic Republic of the Congo,République démocratique du Congo,República Democrática del Congo
Denmark,Danemark,Dinamarca
Djibouti,Djibouti,Djibouti
Dominican Republic,République dominicaine,República Dominicana
Ecuador,Équateur,Ecuador
Egypt,Egypte,Egipto
El Salvador,El Salvador,El Salvador
Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial
Eritrea,Érythrée,Eritrea
Estonia,Estonie,Estonia
Ethiopia,Éthiopie,Etiopía
Fiji,Fidji,Fiji
Finland,Finlande,Finlandia
France,France,Francia
Gabon,Gabon,Gabón
Gambia,Gambie,Gambia
Georgia,Géorgie,Georgia
Germany,Allemagne,Alemania
Ghana,Ghana,Ghana
Greece,Grèce,Grecia
Grenada,Grenade,Granada
Guatemala,Guatemala,Guatemala
Guinea,Guinée,Guinea
